"PVWatts: Hourly PV Performance Data"
"Requested Location:","Akra, Ghana"
"Location:","ACCRA/KOTOKA INTL, GHANA"
"Lat (deg N):","5.6"
"Long (deg W):","0.17"
"Elev (m):","69"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","16.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","24","2.8","0","24","0","0"
"1","1","1","0","0","23.5","3.1","0","23.5","0","0"
"1","1","2","0","0","23","3.3","0","23","0","0"
"1","1","3","0","0","22.5","3.6","0","22.5","0","0"
"1","1","4","0","0","22","3.8","0","22","0","0"
"1","1","5","0","0","21.5","4.1","0","21.5","0","0"
"1","1","6","22","28","21","4.1","33.438","20.319","112.704","90.21"
"1","1","7","291","110","22","5.1","245.322","25.588","804.338","766.458"
"1","1","8","517","178","24","6.4","524.913","32.173","1718.89","1653.837"
"1","1","9","645","227","26","7.7","766.866","37.257","2475.136","2381.74"
"1","1","10","711","258","27","8.2","941.586","40.589","2997.078","2881.021"
"1","1","11","742","274","28","8.7","1035.846","42.564","3265.867","3137.152"
"1","1","12","687","275","29","6.9","985.774","45.159","3066.754","2947.48"
"1","1","13","607","260","30","5.1","855.825","46.828","2638.36","2538.15"
"1","1","14","654","233","29.8","5.1","795.331","45.289","2465.857","2372.841"
"1","1","15","383","253","29","5.1","522.991","39.227","1662.275","1599.13"
"1","1","16","174","129","28","4.1","215.588","32.44","696.155","660.975"
"1","1","17","12","41","27","2.6","46.259","27.286","154.822","131.519"
"1","1","18","0","0","26.4","2.4","0","26.4","0","0"
"1","1","19","0","0","25.8","2.2","0","25.8","0","0"
"1","1","20","0","0","25.2","1.9","0","25.2","0","0"
"1","1","21","0","0","24.7","1.7","0","24.7","0","0"
"1","1","22","0","0","24.1","1.5","0","24.1","0","0"
"1","1","23","0","0","23.5","1.3","0","23.5","0","0"
"1","2","0","0","0","22.9","1.1","0","22.9","0","0"
"1","2","1","0","0","22.3","0.9","0","22.3","0","0"
"1","2","2","0","0","21.7","0.6","0","21.7","0","0"
"1","2","3","0","0","21.2","0.4","0","21.2","0","0"
"1","2","4","0","0","20.6","0.2","0","20.6","0","0"
"1","2","5","0","0","20","0","0","20","0","0"
"1","2","6","1","29","20.5","0","28.565","18.838","100.799","78.531"
"1","2","7","99","136","21","2.1","187.624","24.35","634.238","600.555"
